"LANGUAGE","Čeština"
"VSD_DESC","Pokusí se o zpomalení spawnování přepravních vozidel."
"VSD_DEP_PER","Použít samostatné časovače pro každý sklad"
"VSD_BUS_DEL","Zpoždění spawnování autobusu"
"VSD_TRA_DEL","Zpoždění spawnování tramvaje"
"VSD_TRO_DEL","Zpoždění spawnování trolejbusu"
"VSD_HEL_DEL","Zpoždění spawnování vrtulníku pro cestující"
"VSD_BLI_DEL","Zpoždění spawnování vzducholodě"
"VSD_TRN_DWE","Minimální doba zdržení vlaku"
"VSD_TIM_BLK","Spawnování blokováno pro"
"VSD_TIM_APP","Čas ve hře přibližně"
"VSD_TIM_HR","hodina"
"VSD_TIM_HRS","hodiny"
"VSD_TIM_MN","minuta"
"VSD_TIM_MNS","minut"
"VSD_TIM_SNS","sekundy při normální rychlosti"
"TRN_CHOICE","Nastavit jazyk"
"LANGUAGE_GAME","Použít jazyk hry"
