"LANGUAGE","Italiano"
"VSD_DESC","Tenta di rallentare la generazione dei veicoli da trasporto."
"VSD_DEP_PER","Usa temporizzatori separati per ogni deposito"
"VSD_BUS_DEL","Ritardo di generazione del bus"
"VSD_TRA_DEL","Ritardo di generazione del tram"
"VSD_TRO_DEL","Ritardo di generazione del filobus"
"VSD_HEL_DEL","Ritardo di generazione degli elicotteri passeggeri"
"VSD_BLI_DEL","Ritardo di generazione del dirigibile"
"VSD_TRN_DWE","Tempo di sosta minimo del treno"
"VSD_TIM_BLK","Generazione bloccata per"
"VSD_TIM_APP","Tempo di gioco approssimativamente"
"VSD_TIM_HR","ora"
"VSD_TIM_HRS","ore"
"VSD_TIM_MN","minuto"
"VSD_TIM_MNS","minuti"
"VSD_TIM_SNS","secondi a velocità normale"
"TRN_CHOICE","Imposta lingua"
"LANGUAGE_GAME","Usa linguaggio del gioco"
