"LANGUAGE","Nederlands"
"VSD_DESC","Probeert om het spawnen van transportvoertuigen te vertragen."
"VSD_DEP_PER","Gebruik afzonderlijke timers voor elk depot"
"VSD_BUS_DEL","Vertraging bij het spawnen van bussen"
"VSD_TRA_DEL","Vertraging bij het spawnen van trams"
"VSD_TRO_DEL","Vertraging bij het spawnen van trolleybussen"
"VSD_HEL_DEL","Vertraging bij het spawnen van helikopters"
"VSD_BLI_DEL","Vertraging bij het spawnen van blimps"
"VSD_TRN_DWE","Minimale stoptijd van de trein"
"VSD_TIM_BLK","Spawnen geblokkeerd voor"
"VSD_TIM_APP","Geschatte tijd in het spel"
"VSD_TIM_HR","uur"
"VSD_TIM_HRS","uren"
"VSD_TIM_MN","minuut"
"VSD_TIM_MNS","minuten"
"VSD_TIM_SNS","seconden bij normale snelheid"
"TRN_CHOICE","Taal instellen"
"LANGUAGE_GAME","Gebruik speltaal"
